,Year,Lg,Champion,Runner-Up,Conn Smythe
0,2021,NHL,Playoffs begin April 2021,,
1,2020,NHL,Tampa Bay Lightning,Dallas Stars,Victor Hedman
2,2019,NHL,St. Louis Blues,Boston Bruins,Ryan O'Reilly
3,2018,NHL,Washington Capitals,Vegas Golden Knights,Alex Ovechkin
4,2017,NHL,Pittsburgh Penguins,Nashville Predators,Sidney Crosby
5,2016,NHL,Pittsburgh Penguins,San Jose Sharks,Sidney Crosby
6,2015,NHL,Chicago Blackhawks,Tampa Bay Lightning,Duncan Keith
7,2014,NHL,Los Angeles Kings,New York Rangers,Justin Williams
8,2013,NHL,Chicago Blackhawks,Boston Bruins,Patrick Kane
9,2012,NHL,Los Angeles Kings,New Jersey Devils,Jonathan Quick
10,2011,NHL,Boston Bruins,Vancouver Canucks,Tim Thomas
11,2010,NHL,Chicago Blackhawks,Philadelphia Flyers,Jonathan Toews
12,2009,NHL,Pittsburgh Penguins,Detroit Red Wings,Evgeni Malkin
13,2008,NHL,Detroit Red Wings,Pittsburgh Penguins,Henrik Zetterberg
14,2007,NHL,Anaheim Ducks,Ottawa Senators,Scott Niedermayer
15,2006,NHL,Carolina Hurricanes,Edmonton Oilers,Cam Ward
16,2005,NHL,Season canceled,,
17,2004,NHL,Tampa Bay Lightning,Calgary Flames,Brad Richards
18,2003,NHL,New Jersey Devils,Mighty Ducks of Anaheim,Jean-Sebastien Giguere
19,2002,NHL,Detroit Red Wings,Carolina Hurricanes,Nicklas Lidstrom
20,2001,NHL,Colorado Avalanche,New Jersey Devils,Patrick Roy
21,2000,NHL,New Jersey Devils,Dallas Stars,Scott Stevens
22,1999,NHL,Dallas Stars,Buffalo Sabres,Joe Nieuwendyk
23,1998,NHL,Detroit Red Wings,Washington Capitals,Steve Yzerman
24,1997,NHL,Detroit Red Wings,Philadelphia Flyers,Mike Vernon
25,1996,NHL,Colorado Avalanche,Florida Panthers,Joe Sakic
26,1995,NHL,New Jersey Devils,Detroit Red Wings,Claude Lemieux
27,1994,NHL,New York Rangers,Vancouver Canucks,Brian Leetch
28,1993,NHL,Montreal Canadiens,Los Angeles Kings,Patrick Roy
29,1992,NHL,Pittsburgh Penguins,Chicago Blackhawks,Mario Lemieux
30,1991,NHL,Pittsburgh Penguins,Minnesota North Stars,Mario Lemieux
31,1990,NHL,Edmonton Oilers,Boston Bruins,Bill Ranford
