Year;Champion;Runner-Up;Cup_winner_code;Cup_runner_up_code
2020;Tampa Bay Lightning;Dallas Stars;TBL;DAL
2019;St. Louis Blues;Boston Bruins;STL;BOS
2018;Washington Capitals;Vegas Golden Knights;WSH;VGK
2017;Pittsburgh Penguins;Nashville Predators;PIT;NSH
2016;Pittsburgh Penguins;San Jose Sharks;PIT;SJS
2015;Chicago Blackhawks;Tampa Bay Lightning;CHI;TBL
2014;Los Angeles Kings;New York Rangers;LAK;NYR
2013;Chicago Blackhawks;Boston Bruins;CHI;BOS
2012;Los Angeles Kings;New Jersey Devils;LAK;NJD
2011;Boston Bruins;Vancouver Canucks;BOS;VAN
2010;Chicago Blackhawks;Philadelphia Flyers;CHI;PHI
2009;Pittsburgh Penguins;Detroit Red Wings;PIT;DET
2008;Detroit Red Wings;Pittsburgh Penguins;DET;PIT
2007;Anaheim Ducks;Ottawa Senators;ANA;OTT
2006;Carolina Hurricanes;Edmonton Oilers;CAR;EDM
2004;Tampa Bay Lightning;Calgary Flames;TBL;CGY
2003;New Jersey Devils;Mighty Ducks of Anaheim;NJD;ANA
2002;Detroit Red Wings;Carolina Hurricanes;DET;CAR
2001;Colorado Avalanche;New Jersey Devils;COL;NJD
2000;New Jersey Devils;Dallas Stars;NJD;DAL
1999;Dallas Stars;Buffalo Sabres;DAL;BUF
1998;Detroit Red Wings;Washington Capitals;DET;WSH
1997;Detroit Red Wings;Philadelphia Flyers;DET;PHI
1996;Colorado Avalanche;Florida Panthers;COL;FLA
1995;New Jersey Devils;Detroit Red Wings;NJD;DET
1994;New York Rangers;Vancouver Canucks;NYR;VAN
1993;Montreal Canadiens;Los Angeles Kings;MTL;LAK
1992;Pittsburgh Penguins;Chicago Blackhawks;PIT;CHI
1991;Pittsburgh Penguins;Minnesota North Stars;PIT;MNS
1990;Edmonton Oilers;Boston Bruins;EDM;BOS
1989;Calgary Flames;Montreal Canadiens;CGY;MTL
1988;Edmonton Oilers;Boston Bruins;EDM;BOS
1987;Edmonton Oilers;Philadelphia Flyers;EDM;PHI
1986;Montreal Canadiens;Calgary Flames;MTL;CGY
1985;Edmonton Oilers;Philadelphia Flyers;EDM;PHI
1984;Edmonton Oilers;New York Islanders;EDM;NYI
1983;New York Islanders;Edmonton Oilers;NYI;EDM
1982;New York Islanders;Vancouver Canucks;NYI;VAN
1981;New York Islanders;Minnesota North Stars;NYI;MNS
