,Year,Champion,Runner-Up,Cup_winner_code,Cup_runner_up_code,Cup_winner_place,Cup_runner_up_place,Num_teams
0,2020,Tampa Bay Lightning,Dallas Stars,TBL,DAL,4,10,31
1,2019,St. Louis Blues,Boston Bruins,STL,BOS,12,3,31
2,2018,Washington Capitals,Vegas Golden Knights,WSH,VGK,6,5,31
3,2017,Pittsburgh Penguins,Nashville Predators,PIT,NSH,2,16,30
4,2016,Pittsburgh Penguins,San Jose Sharks,PIT,SJS,4,11,30
5,2015,Chicago Blackhawks,Tampa Bay Lightning,CHI,TBL,7,5,30
6,2014,Los Angeles Kings,New York Rangers,LAK,NYR,10,12,30
7,2013,Chicago Blackhawks,Boston Bruins,CHI,BOS,1,5,30
8,2012,Los Angeles Kings,New Jersey Devils,LAK,NJD,13,9,30
9,2011,Boston Bruins,Vancouver Canucks,BOS,VAN,7,1,30
10,2010,Chicago Blackhawks,Philadelphia Flyers,CHI,PHI,3,18,30
11,2009,Pittsburgh Penguins,Detroit Red Wings,PIT,DET,8,3,30
12,2008,Detroit Red Wings,Pittsburgh Penguins,DET,PIT,1,4,30
13,2007,Anaheim Ducks,Ottawa Senators,ANA,OTT,4,9,30
14,2006,Carolina Hurricanes,Edmonton Oilers,CAR,EDM,4,14,30
15,2004,Tampa Bay Lightning,Calgary Flames,TBL,CGY,2,12,30
16,2003,New Jersey Devils,Mighty Ducks of Anaheim,NJD,ANA,4,11,30
17,2002,Detroit Red Wings,Carolina Hurricanes,DET,CAR,1,16,30
18,2001,Colorado Avalanche,New Jersey Devils,COL,NJD,1,3,30
19,2000,New Jersey Devils,Dallas Stars,NJD,DAL,4,6,28
20,1999,Dallas Stars,Buffalo Sabres,DAL,BUF,1,9,27
21,1998,Detroit Red Wings,Washington Capitals,DET,WSH,3,8,26
22,1997,Detroit Red Wings,Philadelphia Flyers,DET,PHI,5,4,26
23,1996,Colorado Avalanche,Florida Panthers,COL,FLA,2,7,26
24,1995,New Jersey Devils,Detroit Red Wings,NJD,DET,9,1,26
25,1994,New York Rangers,Vancouver Canucks,NYR,VAN,1,14,26
26,1993,Montreal Canadiens,Los Angeles Kings,MTL,LAK,6,11,24
27,1992,Pittsburgh Penguins,Chicago Blackhawks,PIT,CHI,6,8,22
28,1991,Pittsburgh Penguins,Minnesota North Stars,PIT,MNS,7,16,21
29,1990,Edmonton Oilers,Boston Bruins,EDM,BOS,5,1,21
30,1989,Calgary Flames,Montreal Canadiens,CGY,MTL,1,2,21
31,1988,Edmonton Oilers,Boston Bruins,EDM,BOS,3,4,21
32,1987,Edmonton Oilers,Philadelphia Flyers,EDM,PHI,1,2,21
33,1986,Montreal Canadiens,Calgary Flames,MTL,CGY,7,6,21
34,1985,Edmonton Oilers,Philadelphia Flyers,EDM,PHI,2,1,21
35,1984,Edmonton Oilers,New York Islanders,EDM,NYI,1,2,21
36,1983,New York Islanders,Edmonton Oilers,NYI,EDM,6,3,21
37,1982,New York Islanders,Vancouver Canucks,NYI,VAN,1,11,21
38,1981,New York Islanders,Minnesota North Stars,NYI,MNS,1,9,21
39,1980,New York Islanders,Philadelphia Flyers,NYI,PHI,5,1,21
40,1979,Montreal Canadiens,New York Rangers,MTL,NYR,2,5,17
41,1978,Montreal Canadiens,Boston Bruins,MTL,BOS,1,2,18
42,1977,Montreal Canadiens,Boston Bruins,MTL,BOS,1,3,18
43,1976,Montreal Canadiens,Philadelphia Flyers,MTL,PHI,1,2,18
44,1975,Philadelphia Flyers,Buffalo Sabres,PHI,BUF,1,2,18
45,1974,Philadelphia Flyers,Boston Bruins,PHI,BOS,2,1,16
46,1973,Montreal Canadiens,Chicago Black Hawks,MTL,CHI,1,4,16
47,1972,Boston Bruins,New York Rangers,BOS,NYR,1,2,14
48,1971,Montreal Canadiens,Chicago Black Hawks,MTL,CHI,4,3,14
49,1970,Boston Bruins,St. Louis Blues,BOS,STL,2,6,12
50,1969,Montreal Canadiens,St. Louis Blues,MTL,STL,1,4,12
51,1968,Montreal Canadiens,St. Louis Blues,MTL,STL,1,8,12
52,1967,Toronto Maple Leafs,Montreal Canadiens,TOR,MTL,3,2,6
53,1966,Montreal Canadiens,Detroit Red Wings,MTL,DET,1,4,6
54,1965,Montreal Canadiens,Chicago Black Hawks,MTL,CHI,2,3,6
55,1964,Toronto Maple Leafs,Detroit Red Wings,TOR,DET,3,4,6
56,1963,Toronto Maple Leafs,Detroit Red Wings,TOR,DET,1,4,6
57,1962,Toronto Maple Leafs,Chicago Black Hawks,TOR,CHI,2,3,6
58,1961,Chicago Black Hawks,Detroit Red Wings,CHI,DET,3,4,6
59,1960,Montreal Canadiens,Toronto Maple Leafs,MTL,TOR,1,2,6
60,1959,Montreal Canadiens,Toronto Maple Leafs,MTL,TOR,1,4,6
61,1958,Montreal Canadiens,Boston Bruins,MTL,BOS,1,4,6
62,1957,Montreal Canadiens,Boston Bruins,MTL,BOS,2,3,6
63,1956,Montreal Canadiens,Detroit Red Wings,MTL,DET,1,2,6
64,1955,Detroit Red Wings,Montreal Canadiens,DET,MTL,1,2,6
65,1954,Detroit Red Wings,Montreal Canadiens,DET,MTL,1,2,6
66,1953,Montreal Canadiens,Boston Bruins,MTL,BOS,2,3,6
67,1952,Detroit Red Wings,Montreal Canadiens,DET,MTL,1,2,6
68,1951,Toronto Maple Leafs,Montreal Canadiens,TOR,MTL,2,3,6
69,1950,Detroit Red Wings,New York Rangers,DET,NYR,1,4,6
70,1949,Toronto Maple Leafs,Detroit Red Wings,TOR,DET,4,1,6
71,1948,Toronto Maple Leafs,Detroit Red Wings,TOR,DET,1,2,6
72,1947,Toronto Maple Leafs,Montreal Canadiens,TOR,MTL,2,1,6
73,1946,Montreal Canadiens,Boston Bruins,MTL,BOS,1,2,6
74,1945,Toronto Maple Leafs,Detroit Red Wings,TOR,DET,3,2,6
75,1944,Montreal Canadiens,Chicago Black Hawks,MTL,CHI,1,4,6
76,1943,Detroit Red Wings,Boston Bruins,DET,BOS,1,2,6
77,1942,Toronto Maple Leafs,Detroit Red Wings,TOR,DET,2,5,7
78,1941,Boston Bruins,Detroit Red Wings,BOS,DET,1,3,7
79,1940,New York Rangers,Toronto Maple Leafs,NYR,TOR,2,3,7
80,1939,Boston Bruins,Toronto Maple Leafs,BOS,TOR,1,3,7
81,1938,Chicago Black Hawks,Toronto Maple Leafs,CHI,TOR,6,3,8
82,1937,Detroit Red Wings,New York Rangers,DET,NYR,1,6,8
83,1936,Detroit Red Wings,Toronto Maple Leafs,DET,TOR,1,3,8
84,1935,Montreal Maroons,Toronto Maple Leafs,MMR,TOR,4,1,9
85,1934,Chicago Black Hawks,Detroit Red Wings,CHI,DET,3,2,9
86,1933,New York Rangers,Toronto Maple Leafs,NYR,TOR,4,3,9
87,1932,Toronto Maple Leafs,New York Rangers,TOR,NYR,3,2,8
88,1931,Montreal Canadiens,Chicago Black Hawks,MTL,CHI,2,4,10
89,1930,Montreal Canadiens,Boston Bruins,MTL,BOS,3,1,10
90,1929,Boston Bruins,New York Rangers,BOS,NYR,2,3,10
91,1928,New York Rangers,Montreal Maroons,NYR,MMR,5,2,10
92,1927,Ottawa Senators,Boston Bruins,SEN,BOS,1,4,10
93,1926,Montreal Maroons,Ottawa Senators,MMR,SEN,2,1,7
94,1925,Montreal Canadiens,Hamilton Tigers,MTL,HAM,3,1,6
95,1924,Montreal Canadiens,Ottawa Senators,MTL,SEN,2,1,4
96,1923,Ottawa Senators,Montreal Canadiens,SEN,MTL,1,2,4
97,1922,Toronto St. Patricks,Ottawa Senators,TSP,SEN,2,1,4
98,1921,Ottawa Senators,Toronto St. Patricks,SEN,TSP,2,1,4
99,1919,Montreal Canadiens,Ottawa Senators,MTL,SEN,2,1,3
100,1918,Toronto Arenas,Montreal Canadiens,TAN,MTL,2,1,4
