FRANCHISE;WINS;TEAM_CODE
Montreal Canadiens;23;MTL
Toronto Maple Leafs;13;TOR
Detroit Red Wings;11;DET
Boston Bruins;6;BOS
Chicago Blackhawks;6;CHI
Edmonton Oilers;5;EDM
Pittsburgh Penguins;5;PIT
New York Islanders;4;NYI
New York Rangers;4;NYR
St. Louis Eagles;4;SLE
New Jersey Devils;3;NJD
Colorado Avalanche;2;COL
Los Angeles Kings;2;LAK
Montreal Maroons;2;MMR
Philadelphia Flyers;2;PHI
Tampa Bay Lightning;2;TBL
Anaheim Ducks;1;ANA
Calgary Flames;1;CGY
Carolina Hurricanes;1;CAR
Dallas Stars;1;DAL
St. Louis Blues;1;STL
Washington Capitals;1;WSH
Toronto St. Patricks;1;TSP
Toronto Arenas;1;TAN
Ottawa Senators (1917);4;SEN
St. Louis Eagles;4;SLE
